,date,likes,comments_num,posts_num,Adj Close,Volume,comments_lm_pos,comments_lm_neg,comments_lm_pol,comments_lm_subj,comments_hiv4_pos,comments_hiv4_neg,comments_hiv4_pol,comments_hiv4_subj,comments_vader_neg,comments_vader_compound,comments_vader_pos,comments_vader_neu,emojs,emojs_count,emoj_avg,emoj_sum
323,2021-06-01,89,457,82,249.020004,9625600.0,5772,15944,-0.4684103886319575,0.0845829665575379,47848,36799,0.1305303200334267,0.3296967383586258,0.145,1.0,0.161,0.694,"['😭', '😊']",2.0,0.0,0.0
324,2021-06-02,249,2944,244,282.23999,16019200.0,3996,11358,-0.4794841734740468,0.0887232382763357,32287,25534,0.116791477142962,0.3341192106536412,0.139,1.0,0.158,0.702,"['🙌', '💎', '🚀', '🚀', '🚀', '🙌', '💎', '🚀', '🚀', '🚀', '😅', '💎', '🙌', '💎', '🙌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🌌', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🌺', '🚀']",77.0,0.6233766233766234,48.0
325,2021-06-03,443,1871,280,258.179993,8000000.0,5502,15469,-0.4752753802643996,0.0844743064531567,46493,35910,0.1284297901759835,0.3319315375833044,0.145,1.0,0.161,0.694,"['🚀', '➡', '➡', '🚀', '🚀', '🚀', '🔥', '🚀', '🚀', '💎', '🌙', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🙌', '💎', '🚀', '🌑', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🎮', '🎥', '🎮', '🐜', '💩', '🐒', '🚀', '🚀', '🐒', '🌝', '🚀', '🌕', '🚀', '🚀', '🚀', '🚀']",178.0,0.9325842696629212,166.0
326,2021-06-04,169,1585,139,248.360001,3637500.0,5441,15318,-0.4757936316549066,0.084503315571241,46076,35658,0.1274622556081011,0.3327132325689972,0.145,1.0,0.162,0.693,"['💎', '👐', '🌙', '🌙', '😂', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐', '💎', '👐']",113.0,1.0,113.0
327,2021-06-05,85,1630,85,248.360001,3637500.0,5465,15288,-0.4733291572074722,0.0842330421790911,45928,35810,0.1237857544823241,0.3317612105061704,0.147,1.0,0.16,0.693,0,0.0,0.0,0.0
328,2021-06-06,74,5239,72,248.360001,3637500.0,6351,18169,-0.4819738988384187,0.0849642401726833,53652,41356,0.1294206803623966,0.3292121749725245,0.154,-0.9996,0.161,0.685,"['🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀']",13.0,1.0,13.0
329,2021-06-07,146,16989,127,280.01001,6051500.0,5575,15554,-0.4722892706482895,0.0841631879159198,47011,36243,0.1293391308510181,0.3316258245421926,0.142,1.0,0.166,0.692,"['💎', '🙌', '🐒', '👌', '🔺', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🌙', '🌙', '🌙', '🌙', '🌙', '🌙', '🌙', '🌙', '🌙', '🌙', '🌙', '🌙', '🌙', '🌙', '🌙', '🚀']",28.0,0.8571428571428571,24.0
330,2021-06-08,365,4887,241,300.0,17439100.0,5580,15314,-0.4658753708975842,0.0847341463114459,46314,35561,0.131334351143434,0.3320382994759085,0.145,1.0,0.161,0.694,"['🚀', '🐻', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '❤', '👑', '✌', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀']",22.0,0.9090909090909092,20.0
331,2021-06-09,561,16725,357,302.559998,13429300.0,5661,15391,-0.4621888656440153,0.0843101839426011,46592,35863,0.1301194590973243,0.3302202269136985,0.146,1.0,0.16,0.693,"['🚀', '🚀', '🚀', '🚀', '🌕', '💎', '🙌', '🍌', '🍌', '🔫', '🐎', '🌠', '😩', '🏠', '🍔', '🚀', '🚀', '🚀', '🚀', '🙌', '♂', '✋', '💎', '💎', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀']",46.0,0.8043478260869565,37.0
332,2021-06-10,680,9145,277,220.389999,22980200.0,5495,15361,-0.4730533179673449,0.0842584961454878,46174,36040,0.1232636777176239,0.3321455697211901,0.149,-0.9999,0.158,0.693,"['🚀', '⛽', '🚀', '🚀', '🚀', '✊', '✊', '✊', '✊', '✊', '✊', '🚀', '🚀', '🚀', '🚀', '✦', '✦', '☀', '✦', '✦', '🚀', '🌠', '✦', '🌑', '🌍', '✦']",26.0,1.0,26.0
